ccn,name,health_system_id,health_system_name,hcris_contract_hours,overlay_per_hour,additional_agency_fee_allocated,overlay_source,overlay_as_of_year
050411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,kaiser_permanente,Kaiser Permanente,896691.0,17.39,15594725.37,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,kaiser_permanente,Kaiser Permanente,1312758.0,17.39,22830719.26,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050510,KAISER FOUNDATION HOSPITAL,kaiser_permanente,Kaiser Permanente,442573.0,17.39,7696970.74,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050512,KAISER FOUNDATION HOSPITAL - FREMONT,kaiser_permanente,Kaiser Permanente,507977.0,17.39,8834438.85,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050515,KAISER FOUNDATION HOSPITAL - SAN DIEGO,kaiser_permanente,Kaiser Permanente,1712525.0,17.39,29783233.09,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,kaiser_permanente,Kaiser Permanente,621207.0,17.39,10803668.78,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050561,KAISER FOUNDATION HOSPITAL - WEST LA,kaiser_permanente,Kaiser Permanente,790511.0,17.39,13748104.92,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,kaiser_permanente,Kaiser Permanente,952602.0,17.39,16567096.78,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,kaiser_permanente,Kaiser Permanente,1479683.0,17.39,25733781.22,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050674,KAISER FOUNDATION HOSP SO SACRAMENTO,kaiser_permanente,Kaiser Permanente,1537831.0,17.39,26745057.22,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,kaiser_permanente,Kaiser Permanente,692204.0,17.39,12038407.07,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",kaiser_permanente,Kaiser Permanente,741827.0,17.39,12901421.26,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,kaiser_permanente,Kaiser Permanente,753545.0,17.39,13105213.87,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050710,KAISER FOUNDATION HOSPITAL - FRESNO,kaiser_permanente,Kaiser Permanente,596600.0,17.39,10375718.23,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,kaiser_permanente,Kaiser Permanente,931213.0,17.39,16195111.8,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050748,KAISER FOUNDATION HOSPITAL MANTECA,kaiser_permanente,Kaiser Permanente,1095310.0,17.39,19048990.84,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,kaiser_permanente,Kaiser Permanente,672578.0,17.39,11697083.16,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,kaiser_permanente,Kaiser Permanente,535446.0,17.39,9312163.63,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050767,KAISER FOUNDATION HOSPITAL - VACAVILLE,kaiser_permanente,Kaiser Permanente,569972.0,17.39,9912619.63,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,kaiser_permanente,Kaiser Permanente,1540800.0,17.39,26796692.33,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,kaiser_permanente,Kaiser Permanente,834563.0,17.39,14514231.53,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050855,KAISER FOUNDATION HOSPITAL - SAN MARCOS,kaiser_permanente,Kaiser Permanente,668416.0,17.39,11624700.09,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
120011,KAISER FOUNDATION HOSPITAL,kaiser_permanente,Kaiser Permanente,51644.66,17.39,898173.72,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
380091,KAISER SUNNYSIDE MEDICAL CENTER,kaiser_permanente,Kaiser Permanente,2652718.0,17.39,46134519.79,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
380103,KAISER FOUNDATION HOSPITAL WESTSIDE,kaiser_permanente,Kaiser Permanente,1157326.0,17.39,20127536.83,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
